"id","firstname","lastname","candidate_name","social_security_number","faculty_id","address","postal_information","email","electoral_alliance_id","candidate_number","notes","numbering_order","created_at","updated_at","cancelled","marked_invalid","phone_number"
15,"Anupam","Arohi","Arohi, Anupam","010679-046B",1,"Testiosoite 15","10014 Helsinki","etunimi.sukunimi.14@example.com",26,16,,8380416,"2018-11-02 11:41:50.168105","2018-11-02 11:41:50.168105",FALSE,FALSE,
16,"Zachary Howell","Laster","Laster, Zach","080390-0159",10,"Testiosoite 16","10015 Helsinki","etunimi.sukunimi.15@example.com",26,17,,8384512,"2018-11-02 11:41:50.179497","2018-11-02 11:41:50.179497",FALSE,FALSE,
17,"Anastasia","Diatlova","Diatlova, Nastia","260687-0290",6,"Testiosoite 17","10016 Helsinki","etunimi.sukunimi.16@example.com",26,18,,8386560,"2018-11-02 11:41:50.19016","2018-11-02 11:41:50.19016",FALSE,FALSE,
18,"Shakhawat","Hossain","Hossain, Shakhawat","120578-0406",8,"Testiosoite 18","10017 Helsinki","etunimi.sukunimi.17@example.com",26,19,,8387584,"2018-11-02 11:41:50.20122","2018-11-02 11:41:50.20122",FALSE,FALSE,
19,"Rachel Jean","Strickman","Strickman, Rachel","310485-0603",5,"Testiosoite 19","10018 Helsinki","etunimi.sukunimi.18@example.com",26,20,,8388096,"2018-11-02 11:41:50.212322","2018-11-02 11:41:50.212322",FALSE,FALSE,
34,"Joonas Patrik Antero","Laukia","Laukia, Joonas","081255-0311",9,"Testiosoite 34","10033 Helsinki","etunimi.sukunimi.33@example.com",22,35,,8388088,"2018-11-02 11:41:50.381894","2018-11-02 11:41:50.381894",FALSE,FALSE,
43,"Kaisa Emilia","Penny","Penny, Kaisa","090366-0008",11,"Testiosoite 43","10042 Helsinki","etunimi.sukunimi.42@example.com",22,44,,8388599,"2018-11-02 11:41:50.481194","2018-11-02 11:41:50.481194",FALSE,FALSE,
45,"Elisa Josefiina","Selinummi","Selinummi, Elisa","160583-032T",1,"Testiosoite 45","10044 Helsinki","etunimi.sukunimi.44@example.com",22,46,,8388601,"2018-11-02 11:41:50.512331","2018-11-02 11:41:50.512331",FALSE,FALSE,
46,"Ville Matti Hjalmat","Sihto","Sihto, Ville","060468-005T",10,"Testiosoite 46","10045 Helsinki","etunimi.sukunimi.45@example.com",22,47,,8388602,"2018-11-02 11:41:50.524522","2018-11-02 11:41:50.524522",FALSE,FALSE,
25,"Anssi Ilari","Häkkinen","Häkkinen, Anssi","290450-086L",1,"Testiosoite 25","10024 Helsinki","etunimi.sukunimi.24@example.com",22,26,,8126456,"2018-11-02 11:41:50.279547","2018-11-02 11:41:50.279547",FALSE,FALSE,
27,"Satu-Maria","Häkkinen","Häkkinen, Satu-Maria","241061-051X",6,"Testiosoite 27","10026 Helsinki","etunimi.sukunimi.26@example.com",22,28,,8323064,"2018-11-02 11:41:50.301784","2018-11-02 11:41:50.301784",FALSE,FALSE,
32,"Tiina Tytti Unelma","Korkeela","Korkeela, Tiina","060571-053X",7,"Testiosoite 32","10031 Helsinki","etunimi.sukunimi.31@example.com",22,33,,8386552,"2018-11-02 11:41:50.360116","2018-11-02 11:41:50.360116",FALSE,FALSE,
48,"Piia Liisa Marianne","Vaara","Vaara, Piia","090582-025T",8,"Testiosoite 48","10047 Helsinki","etunimi.sukunimi.47@example.com",22,49,,8388604,"2018-11-02 11:41:50.54939","2018-11-02 11:41:50.54939",FALSE,FALSE,
28,"Simo Antti Juhani","Hytti","Hytti, Antti","100269-065Y",8,"Testiosoite 28","10027 Helsinki","etunimi.sukunimi.27@example.com",22,29,,8355832,"2018-11-02 11:41:50.313227","2018-11-02 11:41:50.313227",FALSE,FALSE,
36,"Päivi Elisa","Lipponen","Lipponen, Elisa","130174-021Y",10,"Testiosoite 36","10035 Helsinki","etunimi.sukunimi.35@example.com",22,37,,8388472,"2018-11-02 11:41:50.403555","2018-11-02 11:41:50.403555",FALSE,FALSE,
26,"Juha Petteri","Häkkinen","Häkkinen, Juha","041278-080Y",10,"Testiosoite 26","10025 Helsinki","etunimi.sukunimi.25@example.com",22,27,,8257528,"2018-11-02 11:41:50.290519","2018-11-02 11:41:50.290519",FALSE,FALSE,
42,"Erkki Tapani","Papunen","Papunen, Erkki","250651-0347",7,"Testiosoite 42","10041 Helsinki","etunimi.sukunimi.41@example.com",22,43,,8388598,"2018-11-02 11:41:50.469492","2018-11-02 11:41:50.469492",FALSE,FALSE,
38,"Sonia Margot","Meltti","Meltti, Sonia","310986-097K",8,"Testiosoite 38","10037 Helsinki","etunimi.sukunimi.37@example.com",22,39,,8388568,"2018-11-02 11:41:50.426193","2018-11-02 11:41:50.426193",FALSE,FALSE,
30,"Inari Julia","Juntumaa","Juntumaa, Inari","140689-080D",2,"Testiosoite 30","10029 Helsinki","etunimi.sukunimi.29@example.com",22,31,,8380408,"2018-11-02 11:41:50.339131","2018-11-02 11:41:50.339131",FALSE,FALSE,
50,"Matti Lauri Oskari","Wäänänen","Wäänänen, Oskari","230969-025P",2,"Testiosoite 50","10049 Helsinki","etunimi.sukunimi.49@example.com",22,51,,8388606,"2018-11-02 11:41:50.574399","2018-11-02 11:41:50.574399",FALSE,FALSE,
24,"Ida Anniina","Heinäluoma","Heinäluoma, Ida","191055-034L",9,"Testiosoite 24","10023 Helsinki","etunimi.sukunimi.23@example.com",22,25,,7864312,"2018-11-02 11:41:50.26858","2018-11-02 11:41:50.26858",FALSE,FALSE,
33,"Jukka Kusti","Kuisma","Kuisma, Jukka","310357-0912",11,"Testiosoite 33","10032 Helsinki","etunimi.sukunimi.32@example.com",22,34,,8387576,"2018-11-02 11:41:50.371072","2018-11-02 11:41:50.371072",FALSE,FALSE,
37,"Sini Pauliina","Lähdesmäki","Lähdesmäki, Sini","240876-028E",6,"Testiosoite 37","10036 Helsinki","etunimi.sukunimi.36@example.com",22,38,,8388536,"2018-11-02 11:41:50.414724","2018-11-02 11:41:50.414724",FALSE,FALSE,
39,"Marianne Kristiina","Muona","Muona, Marianne","271076-0601",5,"Testiosoite 39","10038 Helsinki","etunimi.sukunimi.38@example.com",22,40,,8388584,"2018-11-02 11:41:50.437189","2018-11-02 11:41:50.437189",FALSE,FALSE,
40,"Matti Nestori","Niemi","Niemi, Matti","070276-0755",2,"Testiosoite 40","10039 Helsinki","etunimi.sukunimi.39@example.com",22,41,,8388592,"2018-11-02 11:41:50.447723","2018-11-02 11:41:50.447723",FALSE,FALSE,
29,"Tuomas Joonatan","Jalava","Jalava, Tuomas","030558-0972",5,"Testiosoite 29","10028 Helsinki","etunimi.sukunimi.28@example.com",22,30,,8372216,"2018-11-02 11:41:50.324373","2018-11-02 11:41:50.324373",FALSE,FALSE,
21,"Sylvester Daniel","Eriksson-Bique","Eriksson-Bique, Sylvester","310972-0670",4,"Testiosoite 21","10020 Helsinki","etunimi.sukunimi.20@example.com",22,22,,4194296,"2018-11-02 11:41:50.235256","2018-11-02 11:41:50.235256",FALSE,FALSE,
47,"Pekka Kalervo Johannes","Tuominen","Tuominen, Pekka","310782-0458",6,"Testiosoite 47","10046 Helsinki","etunimi.sukunimi.46@example.com",22,48,,8388603,"2018-11-02 11:41:50.536976","2018-11-02 11:41:50.536976",FALSE,FALSE,
23,"Joona Risti Mikael","Iso-Lotila","Iso-Lotila, Joona","061258-005N",11,"Testiosoite 23","10022 Helsinki","etunimi.sukunimi.22@example.com",22,24,,7340024,"2018-11-02 11:41:50.257457","2018-11-02 11:41:50.257457",FALSE,FALSE,
41,"Oscar Antonio","Ortiz-Nieminen","Ortiz-Nieminen, Oscar","270178-098H",4,"Testiosoite 41","10040 Helsinki","etunimi.sukunimi.40@example.com",22,42,,8388596,"2018-11-02 11:41:50.458607","2018-11-02 11:41:50.458607",FALSE,FALSE,
31,"Veli Viljami Matias","Kammonen","Kammonen, Viljami","160356-077N",4,"Testiosoite 31","10030 Helsinki","etunimi.sukunimi.30@example.com",22,32,,8384504,"2018-11-02 11:41:50.349708","2018-11-02 11:41:50.349708",FALSE,FALSE,
35,"Anna Marja","Lehmijoki","Lehmijoki, Marja","130990-0106",1,"Testiosoite 35","10034 Helsinki","etunimi.sukunimi.34@example.com",22,36,,8388344,"2018-11-02 11:41:50.392711","2018-11-02 11:41:50.392711",FALSE,FALSE,
20,"Hildur Merja Johanna","Boldt","Boldt, Hildur","020787-033E",2,"Testiosoite 20","10019 Helsinki","etunimi.sukunimi.19@example.com",22,21,,-8,"2018-11-02 11:41:50.223856","2018-11-02 11:41:50.223856",FALSE,FALSE,
44,"Mikko Juhani","Sauli","Sauli, Mikko","010480-037P",9,"Testiosoite 44","10043 Helsinki","etunimi.sukunimi.43@example.com",22,45,,8388600,"2018-11-02 11:41:50.499527","2018-11-02 11:41:50.499527",FALSE,FALSE,
49,"Heta Misteli","Välimäki","Välimäki, Heta","170162-050C",5,"Testiosoite 49","10048 Helsinki","etunimi.sukunimi.48@example.com",22,50,,8388605,"2018-11-02 11:41:50.561666","2018-11-02 11:41:50.561666",FALSE,FALSE,
22,"Martti Kaipia Johannes","Erra","Erra, Johannes","230380-052K",7,"Testiosoite 22","10021 Helsinki","etunimi.sukunimi.21@example.com",22,23,,6291448,"2018-11-02 11:41:50.246516","2018-11-02 11:41:50.246516",FALSE,FALSE,
51,"Anu Pauliina","Ylianttila","Ylianttila, Anu","191163-0544",4,"Testiosoite 51","10050 Helsinki","etunimi.sukunimi.50@example.com",22,52,,8388607,"2018-11-02 11:41:50.587234","2018-11-02 11:41:50.587234",FALSE,FALSE,
85,"Seppo Johannes","Kymäläinen","Kymäläinen, Seppo","090671-015E",1,"Testiosoite 85","10084 Helsinki","etunimi.sukunimi.84@example.com",10,86,,8388592,"2018-11-02 11:41:50.97937","2018-11-02 11:41:50.97937",FALSE,FALSE,
82,"Alex Peter","Kransman","Kransman, Alex","260389-049R",7,"Testiosoite 82","10081 Helsinki","etunimi.sukunimi.81@example.com",10,83,,8388589,"2018-11-02 11:41:50.941746","2018-11-02 11:41:50.941746",FALSE,FALSE,
81,"Margarita","Kozlov","Kozlov, Margarita","200468-082A",4,"Testiosoite 81","10080 Helsinki","etunimi.sukunimi.80@example.com",10,82,,8388588,"2018-11-02 11:41:50.929708","2018-11-02 11:41:50.929708",FALSE,FALSE,
58,"Kari Markku Elias","Erämaja","Erämaja, Elias","060881-070F",8,"Testiosoite 58","10057 Helsinki","etunimi.sukunimi.57@example.com",10,59,,8257511,"2018-11-02 11:41:50.668995","2018-11-02 11:41:50.668995",FALSE,FALSE,
79,"Anna Emilia","Koivunen","Koivunen, Anna","020651-002B",5,"Testiosoite 79","10078 Helsinki","etunimi.sukunimi.78@example.com",10,80,,8388586,"2018-11-02 11:41:50.906155","2018-11-02 11:41:50.906155",FALSE,FALSE,
80,"Lassi Juhani","Kostamo","Kostamo, Lassi","300970-036U",2,"Testiosoite 80","10079 Helsinki","etunimi.sukunimi.79@example.com",10,81,,8388587,"2018-11-02 11:41:50.917865","2018-11-02 11:41:50.917865",FALSE,FALSE,
90,"Sampo Erkki Ilmari","Lindgren","Lindgren, Sampo","210170-077W",2,"Testiosoite 90","10089 Helsinki","etunimi.sukunimi.89@example.com",10,91,,8388597,"2018-11-02 11:41:51.044711","2018-11-02 11:41:51.044711",FALSE,FALSE,
59,"Helen Henrika","Fils","Fils, Helen","020466-069S",5,"Testiosoite 59","10058 Helsinki","etunimi.sukunimi.58@example.com",10,60,,8323047,"2018-11-02 11:41:50.679563","2018-11-02 11:41:50.679563",FALSE,FALSE,
78,"Annika Emilia","Keriö","Keriö, Annika","220985-0854",8,"Testiosoite 78","10077 Helsinki","etunimi.sukunimi.77@example.com",10,79,,8388585,"2018-11-02 11:41:50.894285","2018-11-02 11:41:50.894285",FALSE,FALSE,
56,"Tuomas Aleksanteri Villenpoika","Auvinen","Auvinen, Tuomas","130377-022C",10,"Testiosoite 56","10055 Helsinki","etunimi.sukunimi.55@example.com",10,57,,7864295,"2018-11-02 11:41:50.647194","2018-11-02 11:41:50.647194",FALSE,FALSE,
53,"Lotta Emilia","Ahlman","Ahlman, Lotta","130587-078C",11,"Testiosoite 53","10052 Helsinki","etunimi.sukunimi.52@example.com",10,54,,4194279,"2018-11-02 11:41:50.608688","2018-11-02 11:41:50.608688",FALSE,FALSE,
54,"Antti Juhani","Ahonen","Ahonen, Antti Juhani","280582-011L",9,"Testiosoite 54","10053 Helsinki","etunimi.sukunimi.53@example.com",10,55,,6291431,"2018-11-02 11:41:50.619427","2018-11-02 11:41:50.619427",FALSE,FALSE,
98,"Sami Petteri","Metelinen","Metelinen, Sami 'Johtaja'","200186-013A",8,"Testiosoite 98","10097 Helsinki","etunimi.sukunimi.97@example.com",10,99,,8388605,"2018-11-02 11:41:51.150993","2018-11-02 11:41:51.150993",FALSE,FALSE,
62,"Eero Samuli","Haapalehto","Haapalehto, Eero","260986-0915",7,"Testiosoite 62","10061 Helsinki","etunimi.sukunimi.61@example.com",10,63,,8380391,"2018-11-02 11:41:50.711478","2018-11-02 11:41:50.711478",FALSE,FALSE,
71,"Kim Henrik","Josefsson","Josefsson, Kim","270565-0273",4,"Testiosoite 71","10070 Helsinki","etunimi.sukunimi.70@example.com",10,72,,8388567,"2018-11-02 11:41:50.810066","2018-11-02 11:41:50.810066",FALSE,FALSE,
93,"Milla Maria","Majaniemi","Majaniemi, Milla","100481-097P",11,"Testiosoite 93","10092 Helsinki","etunimi.sukunimi.92@example.com",10,94,,8388600,"2018-11-02 11:41:51.083393","2018-11-02 11:41:51.083393",FALSE,FALSE,
57,"Thomas Leo","Brand","Brand, Thomas","241161-026X",6,"Testiosoite 57","10056 Helsinki","etunimi.sukunimi.56@example.com",10,58,,8126439,"2018-11-02 11:41:50.658024","2018-11-02 11:41:50.658024",FALSE,FALSE,
72,"Paula-Maria Päivikki","Juurinen","Juurinen, Paula","100375-0616",7,"Testiosoite 72","10071 Helsinki","etunimi.sukunimi.71@example.com",10,73,,8388575,"2018-11-02 11:41:50.820336","2018-11-02 11:41:50.820336",FALSE,FALSE,
92,"Irene Maria Eleonoora","Lähdemäki","Lähdemäki, Irene","131052-076A",7,"Testiosoite 92","10091 Helsinki","etunimi.sukunimi.91@example.com",10,93,,8388599,"2018-11-02 11:41:51.069841","2018-11-02 11:41:51.069841",FALSE,FALSE,
97,"Lotta Karoliina","Merisaari","Merisaari, Lotta","211188-086W",6,"Testiosoite 97","10096 Helsinki","etunimi.sukunimi.96@example.com",10,98,,8388604,"2018-11-02 11:41:51.135551","2018-11-02 11:41:51.135551",FALSE,FALSE,
61,"Johanna Elisa","Haapala","Haapala, Johanna","200466-038C",4,"Testiosoite 61","10060 Helsinki","etunimi.sukunimi.60@example.com",10,62,,8372199,"2018-11-02 11:41:50.701091","2018-11-02 11:41:50.701091",FALSE,FALSE,
65,"Antti Edvard","Häkkänen","Häkkänen, Antti","220376-0583",1,"Testiosoite 65","10064 Helsinki","etunimi.sukunimi.64@example.com",10,66,,8387559,"2018-11-02 11:41:50.743289","2018-11-02 11:41:50.743289",FALSE,FALSE,
75,"Kai-Verneri","Kaksonen","Kaksonen, Kai","240787-031K",1,"Testiosoite 75","10074 Helsinki","etunimi.sukunimi.74@example.com",10,76,,8388582,"2018-11-02 11:41:50.852159","2018-11-02 11:41:50.852159",FALSE,FALSE,
86,"Marika Pauliina","Lahtinen","Lahtinen, Marika","260256-053J",10,"Testiosoite 86","10085 Helsinki","etunimi.sukunimi.85@example.com",10,87,,8388593,"2018-11-02 11:41:50.993991","2018-11-02 11:41:50.993991",FALSE,FALSE,
52,"Maria Josefina","Aalto","Aalto, Maria","241179-0179",7,"Testiosoite 52","10051 Helsinki","etunimi.sukunimi.51@example.com",10,53,,-25,"2018-11-02 11:41:50.59821","2018-11-02 11:41:50.59821",FALSE,FALSE,
76,"Tanja Marita","Kangas","Kangas, Tanja","020785-027R",10,"Testiosoite 76","10075 Helsinki","etunimi.sukunimi.75@example.com",10,77,,8388583,"2018-11-02 11:41:50.863459","2018-11-02 11:41:50.863459",FALSE,FALSE,
69,"Tuukka Santeri","Hämäläinen","Hämäläinen, Tuukka","201059-053W",5,"Testiosoite 69","10068 Helsinki","etunimi.sukunimi.68@example.com",10,70,,8388519,"2018-11-02 11:41:50.788939","2018-11-02 11:41:50.788939",FALSE,FALSE,
96,"Jaakko Pekka","Meriläinen","Meriläinen, Jaakko","240861-089J",10,"Testiosoite 96","10095 Helsinki","etunimi.sukunimi.95@example.com",10,97,,8388603,"2018-11-02 11:41:51.122082","2018-11-02 11:41:51.122082",FALSE,FALSE,
63,"Ville Ilmari","Hietanen","Hietanen, Ville I.","091176-038H",11,"Testiosoite 63","10062 Helsinki","etunimi.sukunimi.62@example.com",10,64,,8384487,"2018-11-02 11:41:50.722133","2018-11-02 11:41:50.722133",FALSE,FALSE,
67,"Jani Antero","Hämäläinen","Hämäläinen, Jani","221283-0840",6,"Testiosoite 67","10066 Helsinki","etunimi.sukunimi.66@example.com",10,68,,8388327,"2018-11-02 11:41:50.764835","2018-11-02 11:41:50.764835",FALSE,FALSE,
87,"Tero Juhani Henrik","Lehtiniemi","Lehtiniemi, Tero","291080-079Y",6,"Testiosoite 87","10086 Helsinki","etunimi.sukunimi.86@example.com",10,88,,8388594,"2018-11-02 11:41:51.006939","2018-11-02 11:41:51.006939",FALSE,FALSE,
91,"Reima Jysky Petteri","Linnanvirta","Linnanvirta, Reima","270690-0514",4,"Testiosoite 91","10090 Helsinki","etunimi.sukunimi.90@example.com",10,92,,8388598,"2018-11-02 11:41:51.057236","2018-11-02 11:41:51.057236",FALSE,FALSE,
64,"Lasse","Holopainen","Holopainen, Lasse","170465-0962",9,"Testiosoite 64","10063 Helsinki","etunimi.sukunimi.63@example.com",10,65,,8386535,"2018-11-02 11:41:50.732854","2018-11-02 11:41:50.732854",FALSE,FALSE,
70,"Miika Juhani","Härkönen","Härkönen, Miika 'Härkönen'","310481-078M",2,"Testiosoite 70","10069 Helsinki","etunimi.sukunimi.69@example.com",10,71,,8388551,"2018-11-02 11:41:50.799558","2018-11-02 11:41:50.799558",FALSE,FALSE,
99,"Niilo Hjalmar","Mustonen","Mustonen, Niilo","091178-050D",5,"Testiosoite 99","10098 Helsinki","etunimi.sukunimi.98@example.com",10,100,,8388606,"2018-11-02 11:41:51.164001","2018-11-02 11:41:51.164001",FALSE,FALSE,
55,"Kaarlo Emil Artturi","Artjoki","Artjoki, Emil ","131267-076T",1,"Testiosoite 55","10054 Helsinki","etunimi.sukunimi.54@example.com",10,56,,7340007,"2018-11-02 11:41:50.629619","2018-11-02 11:41:50.629619",FALSE,FALSE,
68,"Maisa-Leena Maria","Hämäläinen","Hämäläinen, Maisa","020759-056Y",8,"Testiosoite 68","10067 Helsinki","etunimi.sukunimi.67@example.com",10,69,,8388455,"2018-11-02 11:41:50.775502","2018-11-02 11:41:50.775502",FALSE,FALSE,
83,"Anita Birgitta","Kuitunen","Kuitunen, Anita","180466-060T",11,"Testiosoite 83","10082 Helsinki","etunimi.sukunimi.82@example.com",10,84,,8388590,"2018-11-02 11:41:50.954872","2018-11-02 11:41:50.954872",FALSE,FALSE,
94,"Pirkko Helena","Matilainen","Matilainen, Helena","231070-028V",9,"Testiosoite 94","10093 Helsinki","etunimi.sukunimi.93@example.com",10,95,,8388601,"2018-11-02 11:41:51.096055","2018-11-02 11:41:51.096055",FALSE,FALSE,
84,"Jenni Ilona","Kuusivuori","Kuusivuori, Jenni","290380-068Y",9,"Testiosoite 84","10083 Helsinki","etunimi.sukunimi.83@example.com",10,85,,8388591,"2018-11-02 11:41:50.967291","2018-11-02 11:41:50.967291",FALSE,FALSE,
88,"Jussi Samuli","Lehtola","Lehtola, Jussi","180270-0308",8,"Testiosoite 88","10087 Helsinki","etunimi.sukunimi.87@example.com",10,89,,8388595,"2018-11-02 11:41:51.019424","2018-11-02 11:41:51.019424",FALSE,FALSE,
66,"Harri Veikko Tapani","Hämäläinen","Hämäläinen, Harri","051269-070Y",10,"Testiosoite 66","10065 Helsinki","etunimi.sukunimi.65@example.com",10,67,,8388071,"2018-11-02 11:41:50.754324","2018-11-02 11:41:50.754324",FALSE,FALSE,
77,"Henriikka Vilhelmiina","Karppinen","Karppinen, Henriikka","110783-0979",6,"Testiosoite 77","10076 Helsinki","etunimi.sukunimi.76@example.com",10,78,,8388584,"2018-11-02 11:41:50.881565","2018-11-02 11:41:50.881565",FALSE,FALSE,
89,"Pekka Sakari","Leinonen","Leinonen, Pekka","140657-071V",5,"Testiosoite 89","10088 Helsinki","etunimi.sukunimi.88@example.com",10,90,,8388596,"2018-11-02 11:41:51.032022","2018-11-02 11:41:51.032022",FALSE,FALSE,
60,"Carl Henrik Ferdinand","Freyberg","Freyberg, Carl","091087-0907",2,"Testiosoite 60","10059 Helsinki","etunimi.sukunimi.59@example.com",10,61,,8355815,"2018-11-02 11:41:50.69047","2018-11-02 11:41:50.69047",FALSE,FALSE,
74,"Toni Juhani","Kainulainen","Kainulainen, Toni","300784-035T",9,"Testiosoite 74","10073 Helsinki","etunimi.sukunimi.73@example.com",10,75,,8388581,"2018-11-02 11:41:50.841468","2018-11-02 11:41:50.841468",FALSE,FALSE,
73,"Maija Elina","Jäntti","Jäntti, Maija","290772-0651",11,"Testiosoite 73","10072 Helsinki","etunimi.sukunimi.72@example.com",10,74,,8388579,"2018-11-02 11:41:50.830842","2018-11-02 11:41:50.830842",FALSE,FALSE,
95,"Matti","Mattila","Mattila, Matti","310271-014C",1,"Testiosoite 95","10094 Helsinki","etunimi.sukunimi.94@example.com",10,96,,8388602,"2018-11-02 11:41:51.109204","2018-11-02 11:41:51.109204",FALSE,FALSE,
100,"Essi Marjaana","Mäkijärvi","Mäkijärvi, Essi","110553-048B",2,"Testiosoite 100","10099 Helsinki","etunimi.sukunimi.99@example.com",10,101,,8388607,"2018-11-02 11:41:51.17698","2018-11-02 11:41:51.17698",FALSE,FALSE,
101,"Aino","Mäkisalo","Mäkisalo, Aino","011059-062X",4,"Testiosoite 101","10100 Helsinki","etunimi.sukunimi.100@example.com",16,102,,-25,"2018-11-02 11:41:51.18836","2018-11-02 11:41:51.18836",FALSE,FALSE,
102,"Timo Antti Juhani","Nisu","Nisu, Timo","100856-096E",7,"Testiosoite 102","10101 Helsinki","etunimi.sukunimi.101@example.com",16,103,,4194279,"2018-11-02 11:41:51.199597","2018-11-02 11:41:51.199597",FALSE,FALSE,
103,"Tuomas Lauri Johannes","Nurmela","Nurmela, Tuomas","150889-073E",11,"Testiosoite 103","10102 Helsinki","etunimi.sukunimi.102@example.com",16,104,,6291431,"2018-11-02 11:41:51.210171","2018-11-02 11:41:51.210171",FALSE,FALSE,
104,"Daniel","Oldroyd","Oldroyd, Daniel","260265-0658",9,"Testiosoite 104","10103 Helsinki","etunimi.sukunimi.103@example.com",16,105,,7340007,"2018-11-02 11:41:51.221335","2018-11-02 11:41:51.221335",FALSE,FALSE,
105,"Lasse Erik Mikael","Olenius","Olenius, Mikael","050479-0404",1,"Testiosoite 105","10104 Helsinki","etunimi.sukunimi.104@example.com",16,106,,7864295,"2018-11-02 11:41:51.23203","2018-11-02 11:41:51.23203",FALSE,FALSE,
106,"Juhana Elia Gabriel","Pihlajamaa","Pihlajamaa, Juhana","210874-0291",10,"Testiosoite 106","10105 Helsinki","etunimi.sukunimi.105@example.com",16,107,,8126439,"2018-11-02 11:41:51.243596","2018-11-02 11:41:51.243596",FALSE,FALSE,
107,"Laura Anna Monika","Pirhonen","Pirhonen, Laura","010957-089F",6,"Testiosoite 107","10106 Helsinki","etunimi.sukunimi.106@example.com",16,108,,8257511,"2018-11-02 11:41:51.256987","2018-11-02 11:41:51.256987",FALSE,FALSE,
108,"Pekka Sakari","Pohjankoski","Pohjankoski, Pekka","120889-0038",8,"Testiosoite 108","10107 Helsinki","etunimi.sukunimi.107@example.com",16,109,,8323047,"2018-11-02 11:41:51.267885","2018-11-02 11:41:51.267885",FALSE,FALSE,
109,"Jaakko Ilmari","Poikonen","Poikonen, Jaakko","250264-0551",5,"Testiosoite 109","10108 Helsinki","etunimi.sukunimi.108@example.com",16,110,,8355815,"2018-11-02 11:41:51.278246","2018-11-02 11:41:51.278246",FALSE,FALSE,
